,rv5,return
2000-01-04,0.01497101037051274,-0.038711435881503706
2000-01-05,0.017728006511449616,0.0021919890537908777
2000-01-06,0.011437208043967723,0.0006915851477901192
2000-01-07,0.009675834384882892,0.026570711140089385
2000-01-10,0.010964156529802007,0.01104342964678912
2000-01-11,0.008252224159825731,-0.012786988127785958
2000-01-12,0.011090642407363065,-0.004417633093645477
2000-01-13,0.010066165243378434,0.012408811966956578
2000-01-14,0.011802560353203028,0.009602885310326706
2000-01-18,0.009629728572182583,-0.0057891346805776294
2000-01-19,0.0070095603539263,0.00020610624162649554
2000-01-20,0.011386835778872022,-0.007412114591828128
2000-01-21,0.0070940742140542835,-0.0029802976017483185
2000-01-24,0.013767146869994524,-0.028207765502041366
2000-01-25,0.013254950951550142,0.006348549844738563
2000-01-26,0.008362543025843982,-0.003653322612807736
2000-01-27,0.013698706330088253,-0.003945481910888678
2000-01-28,0.01667657546131699,-0.026674429830284677
2000-01-31,0.013753147559667932,0.02273485063878432
2000-02-01,0.01080216104397634,0.011119710901879961
2000-02-02,0.009706661823137515,0.00023419453156351636
2000-02-03,0.012169408110175285,0.010552604586340037
2000-02-04,0.008218736732516227,0.0001614811333867711
2000-02-07,0.007761297292501357,-0.0001123319410034972
2000-02-08,0.0095408795718754,0.011608516598480672
2000-02-09,0.00964954104802362,-0.01992797348189491
2000-02-10,0.01081123198770612,0.002481926003137608
2000-02-11,0.010134897018075713,-0.02539784998284002
2000-02-14,0.009687215336020068,0.006678267106995712
2000-02-15,0.01145437818133311,0.009225369118523414
2000-02-16,0.00941906651073931,-0.010672750583329234
2000-02-17,0.01352543306382461,-0.00030270270501416653
2000-02-18,0.012288545345768148,-0.028559582751287046
2000-02-22,0.013923186194079284,0.002770166944430244
2000-02-23,0.01102101959148971,0.007442813388511962
2000-02-24,0.017061770753031467,-0.006215728669193649
2000-02-25,0.015229848577349677,-0.014428031388252778
2000-02-28,0.015025148354009686,0.010319516553611702
2000-02-29,0.011657443001447616,0.014310209991371935
2000-03-01,0.010121628436472069,0.007844777082418266
2000-03-02,0.009942273589051828,0.002644727848619899
2000-03-03,0.009564559288037124,0.019079733629207646
2000-03-06,0.008269019992471212,-0.012933370704785424
2000-03-07,0.01647766745722828,-0.02499975457905976
2000-03-08,0.011527299297016626,0.011284641477929081
2000-03-09,0.010470167096278836,0.020531342128618686
2000-03-10,0.010919983639090308,-0.0031908907902306913
2000-03-13,0.022180538935269358,-0.009959861532766085
2000-03-14,0.012242589766058487,-0.014448842957734881
2000-03-15,0.015201626810476569,0.017880815662594102
2000-03-16,0.016220303454004797,0.049208420335793604
2000-03-20,0.009373896353813674,-6.866504846073876e-06
2000-03-21,0.012465784357392037,0.025142352791782625
2000-03-22,0.008874546196844671,0.004402982963546066
2000-03-23,0.012066552553484362,0.017394386368911236
2000-03-24,0.011913048277540052,0.001734685295120353
2000-03-26,0.008921112435207669,-0.0037021183648383513
2000-03-27,0.008396115400198469,-0.0008077677483180475
2000-03-28,0.01266622184872032,-0.008690169930391069
2000-03-29,0.015176418516006996,-0.01312815284643319
2000-03-30,0.015330779696936487,0.00931022655250596
2000-04-02,0.014171811442472695,0.0011701662173243786
2000-04-03,0.03543106668453548,-0.00672716293583851
2000-04-04,0.022226898395502688,-0.00440477660887904
2000-04-05,0.013893129174199742,0.007957344267988192
2000-04-06,0.009336914012852271,0.010595791896755075
2000-04-09,0.010536183126825388,-0.00721522955409571
2000-04-10,0.014922672502102295,-0.003707245346381446
2000-04-11,0.011094911829212524,-0.0016483758558228864
2000-04-12,0.01948201515631789,-0.03861310061776966
2000-04-13,0.03280975776242489,-0.06069447847363994
2000-04-16,0.024367343182546596,0.03155481781421308
2000-04-17,0.01629795147685745,0.029465883041869236
2000-04-18,0.012883294183321283,-0.008999618083454529
2000-04-19,0.009392040132308774,0.003927685411562285
2000-04-23,0.022962589494697677,-0.0034936242021174676
2000-04-24,0.011472821673938805,0.033519307674743155
2000-04-25,0.010439619899881413,-0.01108751621165239
2000-04-26,0.016656482378641656,0.0019828524007286063
2000-04-27,0.011397916139716066,-0.00787249051288483
2000-04-30,0.010918658809853892,0.010730444077621882
2000-05-01,0.009956768012089626,-0.015243161846048901
2000-05-02,0.015162767361764804,-0.02133993981077619
2000-05-03,0.010428199599930948,-0.003801088274754176
2000-05-04,0.011204135803264792,0.015600303713024358
2000-05-07,0.011329075662691993,-0.006113999611068289
2000-05-08,0.011332096020375047,-0.0072194843988674495
2000-05-09,0.015792793917828472,-0.02204888085589095
2000-05-10,0.012472026981689865,0.018000421502496908
2000-05-11,0.0091132587029609,0.00927792133185754
2000-05-14,0.008920365709711048,0.021482542313752514
2000-05-15,0.015031113762126878,0.009496421956753277
2000-05-16,0.013609975221983324,-0.011737949064244352
2000-05-17,0.008506986001136401,-0.007332030989260042
2000-05-18,0.013842114086222523,-0.02202558730409641
2000-05-21,0.017838694014893578,-0.004568219322124153
2000-05-22,0.01313911525324289,-0.0187682830957826
2000-05-23,0.01828686188119766,0.017939350441967216
2000-05-24,0.013516054420318084,-0.012184220815621342
2000-05-25,0.013707783126056524,-0.0022893749720655832
2000-05-29,0.012421345386390318,0.030564372730230292
2000-05-30,0.012286193012524262,-0.001027611878402841
